Outstanding Balance (Gross),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,"1,542,220",193696,293986,133119,121000,235088,162653,145940,256738
14 Days Loan,"3,383,720",818170,711417,416841,287453,399349,256220,197903,296367
21 Days Loan,"1,535,238",339572,176028,126548,140767,270234,169530,148235,164324
30 Days Loan,"8,870,803",2486358,849277,756129,1121919,1344637,965062,804100,543321
Grand Total,"15,331,981","3,837,796","2,030,708","1,432,637","1,671,139","2,249,308","1,553,465","1,296,178","1,260,750"
,,,,,,,,,
Outstanding Balance (Net),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,"1,124,423",173099,262431,112546,95909,156719,95815,82700,145204
14 Days Loan,"2,527,863",694484,602721,336935,217879,256904,146863,109209,162868
21 Days Loan,"1,063,455",281258,145673,100049,102638,169737,95246,80423,88431
30 Days Loan,"6,241,990",2044880,697016,591850,808908,839344,537177,431242,291573
Grand Total,"10,957,731","3,193,721","1,707,841","1,141,380","1,225,334","1,422,704","875,101","703,574","688,076"
,,,,,,,,,
Arrears Volume,Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,"9,422",1126,1979,1032,895,1527,810,699,1354
14 Days Loan,"22,888",5455,5483,3602,2394,2351,1131,976,1496
21 Days Loan,"7,209",1394,741,590,765,1447,750,719,803
30 Days Loan,"39,683",9740,3676,3430,6263,6481,4035,3729,2329
Grand Total,"79,202","17,715","11,879","8,654","10,317","11,806","6,726","6,123","5,982"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Net Loan Value,Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,"4,489,292",199975,835216,718907,602843,851563,538048,346787,395953
14 Days Loan,"6,882,397",791196,1432384,1192457,992030,1022944,641716,394947,414723
21 Days Loan,"2,926,785",322449,435689,418093,443006,556437,341297,218514,191300
30 Days Loan,"15,325,430",2344445,2138002,2169204,2762266,2551583,1647734,1130477,581719
Grand Total,"29,623,904","3,658,065","4,841,291","4,498,661","4,800,145","4,982,527","3,168,795","2,090,725","1,583,695"
,,,,,,,,,
Net Recovered Value,Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,"3,364,869",26876,572785,606361,506934,694844,442233,264087,250749
14 Days Loan,"4,354,534",96712,829663,855522,774151,766040,494853,285738,251855
21 Days Loan,"1,863,330",41191,290016,318044,340368,386700,246051,138091,102869
30 Days Loan,"9,083,440",299565,1440986,1577354,1953358,1712239,1110557,699235,290146
Grand Total,"18,666,173","464,344","3,133,450","3,357,281","3,574,811","3,559,823","2,293,694","1,387,151","895,619"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Unrecovered % (Net),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,25.05%,86.56%,31.42%,15.66%,15.91%,18.40%,17.81%,23.85%,36.67%
14 Days Loan,36.73%,87.78%,42.08%,28.26%,21.96%,25.11%,22.89%,27.65%,39.27%
21 Days Loan,36.34%,87.23%,33.44%,23.93%,23.17%,30.50%,27.91%,36.80%,46.23%
30 Days Loan,40.73%,87.22%,32.60%,27.28%,29.28%,32.90%,32.60%,38.15%,50.12%
Grand Total,36.99%,87.31%,35.28%,25.37%,25.53%,28.55%,27.62%,33.65%,43.45%
,,,,,,,,,
Recovered % (Net),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
7 Days Loan,74.95%,13.44%,68.58%,84.34%,84.09%,81.60%,82.19%,76.15%,63.33%
14 Days Loan,63.27%,12.22%,57.92%,71.74%,78.04%,74.89%,77.11%,72.35%,60.73%
21 Days Loan,63.66%,12.77%,66.56%,76.07%,76.83%,69.50%,72.09%,63.20%,53.77%
30 Days Loan,59.27%,12.78%,67.40%,72.72%,70.72%,67.10%,67.40%,61.85%,49.88%
Grand Total,63.01%,12.69%,64.72%,74.63%,74.47%,71.45%,72.38%,66.35%,56.55%
