,,,,,,,,,,
,Outstanding Balance (Gross),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan," 1,482,077 ",191498,241626,125054,116921,220495,174348,145790,266345
,14 Days Loan," 3,238,567 ",703003,682178,395097,294675,400971,248575,202847,311221
,21 Days Loan," 1,463,657 ",299467,146653,119745,130743,268477,180456,143288,174828
,30 Days Loan," 8,738,361 ",2479732,750036,702216,1047551,1369606,1009708,708300,671212
,Grand Total," 14,922,662 "," 3,673,700 "," 1,820,493 "," 1,342,112 "," 1,589,890 "," 2,259,549 "," 1,613,087 "," 1,200,225 "," 1,423,606 "
,,,,,,,,,,
,Outstanding Balance (Net),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan," 1,072,389 ",171169,215973,106004,93236,149646,103124,82630,150607
,14 Days Loan," 2,408,046 ",596981,578815,320576,224738,260815,143056,112152,170913
,21 Days Loan," 1,006,028 ",248191,121777,95196,95838,171428,101681,77782,94135
,30 Days Loan," 6,140,069 ",2039641,616886,551221,758294,870303,563311,380609,359804
,Grand Total," 10,626,532 "," 3,055,982 "," 1,533,451 "," 1,072,997 "," 1,172,106 "," 1,452,192 "," 911,172 "," 653,173 "," 775,459 "
,,,,,,,,,,
,Arrears Volume,Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan," 9,098 ",1127,1680,965,879,1460,885,697,1405
,14 Days Loan," 22,064 ",4766,5307,3428,2482,2416,1115,982,1568
,21 Days Loan," 6,925 ",1242,614,561,685,1480,795,693,855
,30 Days Loan," 39,136 ",9743,3231,3221,5742,6793,4186,3276,2944
,Grand Total," 77,223 "," 16,878 "," 10,832 "," 8,175 "," 9,788 "," 12,149 "," 6,981 "," 5,648 "," 6,772 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Net Loan Value,Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan," 4,562,347 ",201552,846059,723829,602398,830256,573934,365886,418433
,14 Days Loan," 7,024,915 ",695731,1568055,1199851,1008000,1050769,644159,419499,438851
,21 Days Loan," 2,953,515 ",305464,444131,419226,421561,575807,363032,216264,208030
,30 Days Loan," 15,572,705 ",2438275,2146879,2114372,2694611,2668250,1732677,1034935,742706
,Grand Total," 30,113,482 "," 3,641,022 "," 5,005,124 "," 4,457,278 "," 4,726,570 "," 5,125,082 "," 3,313,802 "," 2,036,584 "," 1,808,020 "
,,,,,,,,,,
,Net Recovered Value,Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan," 3,489,958 ",30383,630086,617825,509162,680610,470810,283256,267826
,14 Days Loan," 4,616,868 ",98750,989240,879275,783262,789954,501102,307347,267938
,21 Days Loan," 1,947,487 ",57273,322354,324030,325723,404379,261351,138482,113895
,30 Days Loan," 9,432,636 ",398634,1529993,1563151,1936317,1797947,1169366,654326,382902
,Grand Total," 19,486,949 "," 585,040 "," 3,471,673 "," 3,384,281 "," 3,554,464 "," 3,672,890 "," 2,402,629 "," 1,383,411 "," 1,032,561 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Unrecovered % (Net),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan,23.51%,84.93%,25.53%,14.64%,15.48%,18.02%,17.97%,22.58%,35.99%
,14 Days Loan,34.28%,85.81%,36.91%,26.72%,22.30%,24.82%,22.21%,26.73%,38.95%
,21 Days Loan,34.06%,81.25%,27.42%,22.71%,22.73%,29.77%,28.01%,35.97%,45.25%
,30 Days Loan,39.43%,83.65%,28.73%,26.07%,28.14%,32.62%,32.51%,36.78%,48.45%
,Grand Total,35.29%,83.93%,30.64%,24.07%,24.80%,28.34%,27.50%,32.07%,42.89%
,,,,,,,,,,
,Recovered % (Net),Total Balance,Within Tenure,30 days in arrears,31-60 days in arrears,61-90 days in arrears,91-120 days in arrears,121-150 days in arrears,151-180 days in arrears,181+ days in arrears
,7 Days Loan,76.49%,15.07%,74.47%,85.36%,84.52%,81.98%,82.03%,77.42%,64.01%
,14 Days Loan,65.72%,14.19%,63.09%,73.28%,77.70%,75.18%,77.79%,73.27%,61.05%
,21 Days Loan,65.94%,18.75%,72.58%,77.29%,77.27%,70.23%,71.99%,64.03%,54.75%
,30 Days Loan,60.57%,16.35%,71.27%,73.93%,71.86%,67.38%,67.49%,63.22%,51.55%
,Grand Total,64.71%,16.07%,69.36%,75.93%,75.20%,71.66%,72.50%,67.93%,57.11%
